week,phase,topic,hours_planned,hours_actual,sql_problems_cumulative,artifact_link,checkpoint_status,blocker
0,Setup,"Cai dat moi truong macOS (duckdb, dbeaver, uv, docker)",4,,0,,,
1,Foundation,"Tu duy du lieu + Google Sheets: VLOOKUP, SUMIFS, Pivot",15,,0,,,
2,Foundation,"Thong ke mo ta + chon chart dung loai",15,,0,,CHECKPOINT_1,
3,SQL,"SELECT, WHERE, ORDER BY, LIMIT, kieu du lieu",15,,15,,,
4,SQL,"GROUP BY, HAVING, aggregate functions",15,,35,,,
5,SQL,"JOIN types + bay fan-out | Metric drill: DAU",15,,55,,,
6,SQL,"Subquery, EXISTS vs IN, CTE | Metric drill: Conversion rate",15,,75,,,
7,SQL,"Window functions: ROW_NUMBER, RANK, LAG/LEAD, SUM OVER | Metric drill: AOV",15,,95,,,
8,SQL,"Date/time, CASE WHEN pivot, COALESCE | Metric drill: Retention D7",15,,110,,,
9,SQL,"Funnel, cohort, BigQuery public data | Metric drill: Churn rate",15,,125,,CHECKPOINT_2,
10,BI,"Looker Studio: connect, chart, filter, calculated field",15,,130,,,
11,BI,"Metabase via Docker + star schema (fact vs dimension)",15,,135,,,
12,BI,"Nguyen tac thiet ke dashboard | PORTFOLIO #1: Sales Dashboard",15,,140,,,
13,Python,"Python co ban: types, control flow, functions, file I/O",15,,145,,,
14,Python,"Pandas: loc/iloc, groupby, merge, pivot_table",15,,150,,,
15,Python,"Data cleaning: missing, duplicate, outlier IQR, chuan hoa",15,,155,,,
16,Python,"Matplotlib/Seaborn + quy trinh EDA | PORTFOLIO #2: EDA notebook",15,,160,,CHECKPOINT_3,
17,Stats,"CLT, confidence interval, correlation, confounder",15,,165,,,
18,Stats,"Hypothesis testing, p-value, alpha, power, t-test, chi-square",15,,170,,,
19,Stats,"A/B test design, sample size, peeking | PORTFOLIO #3: A/B analysis",15,,175,,,
20,Capstone,"Funnel + cohort + RFM bang SQL tren thelook_ecommerce",15,,180,,,
21,Capstone,"Python analysis + dashboard 3 trang | PORTFOLIO #4 hoan thanh",15,,185,,,
22,JobPrep,"Git workflow, README chuan, don portfolio, CV + LinkedIn",15,,190,,,
23,JobPrep,"On 30 cau SQL interview + doc/sua query sai",15,,220,,,
24,JobPrep,"Case study 5 buoc + mock interview",15,,220,,CHECKPOINT_4,
